"","Outcome","mean","LL","UL","se","LL2","UL2","cat","catvar"
"68","Incident First CHD",0.0180341677608173,0.0158142900791729,0.0202540454424617,0.0171599052532241,-0.0155992465355019,0.0516675820571365,1,"GENDER"
"69","Incident First Stroke",-0.0180257848311777,-0.020065013935287,-0.0159865557270685,0.0171060937858248,-0.0515537286513944,0.0155021589890389,1,"GENDER"
"70","Incident Recurrent CHD",0,0,0,0,0,0,1,"GENDER"
"71","Incident Recurrent Stroke",0,0,0,0,0,0,1,"GENDER"
"72","Death",-0.000650975059507324,-0.00126940136603928,-3.25487529753661e-05,0.00102459076742127,-0.00265917296365302,0.00135722284463837,1,"GENDER"
"73","CHD_Death",0,0,0,0,0,0,1,"GENDER"
"74","Stroke_Death",0,0,0,0,0,0,1,"GENDER"
"75","DM_Death",0,0,0,0,0,0,1,"GENDER"
"76","Non_DM_Non_CVD_Death",-0.000650975059507324,-0.00126940136603928,-3.25487529753661e-05,0.00102459076742127,-0.00265917296365302,0.00135722284463837,1,"GENDER"
"77","Life Years",-0.000201303463119814,-0.000512861525155885,0.000110254598916258,0.000586667524620952,-0.00135117181137688,0.000948564885137252,1,"GENDER"
"78","effect_disc",0.00174842520326691,0.00166261206891723,0.00183423833761659,0.00188414068117157,-0.00194449053182936,0.00544134093836318,1,"GENDER"
"79","HCE_disc",79.7665880907428,69.8830786154406,89.6500975660449,75.3994287833176,-68.0162923245597,227.549468506045,1,"GENDER"
"80","Prod_cost",-204.647895865295,-206.247421596295,-203.048370134295,195.695558490795,-588.211190507253,178.915398776663,1,"GENDER"
"81","Prod_cost_disc",-204.647895865295,-206.247421596295,-203.048370134295,195.695558490795,-588.211190507253,178.915398776663,1,"GENDER"
"82","Policy_cost",73206.4499798697,46050.0734392482,100362.826520491,40432.6660579053,-6041.57549362472,152454.475453364,1,"GENDER"
"83","Total_cost_health",73286.2165679605,46119.9565178636,100452.476618057,40447.4500746367,-5990.78557832741,152563.218714248,1,"GENDER"
"84","Total_cost_societ",73081.5686720952,45916.9081477293,100246.229196461,40445.1845800578,-6190.99310481804,152354.130449008,1,"GENDER"
