"","Outcome","mean.No_Policy","LL.No_Policy","UL.No_Policy","se.No_Policy","LL2.No_Policy","UL2.No_Policy","mean.Policy","LL.Policy","UL.Policy","se.Policy","LL2.Policy","UL2.Policy","mean.Diff1","LL.Diff1","UL.Diff1","se.Diff1","LL2.Diff1","UL2.Diff1"
"11","Death",1592430.87,1589612.5335,1595249.2065,21278.0303036686,1550725.93060481,1634135.80939519,1592155.49,1589784.0905,1594526.8895,21156.7627286617,1550688.23505182,1633622.74494818,-275.38,-722.317,171.557,865.312628555727,-1971.39275196922,1420.63275196922
"12","CHD_Death",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13","Stroke_Death",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14","DM_Death",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15","Non_DM_Non_CVD_Death",1592430.87,1589612.5335,1595249.2065,21278.0303036686,1550725.93060481,1634135.80939519,1592155.49,1589784.0905,1594526.8895,21156.7627286617,1550688.23505182,1633622.74494818,-275.38,-722.317,171.557,865.312628555727,-1971.39275196922,1420.63275196922
"16","Life Years",154799491.31,154646385.149,154952597.471,400025.033878474,154015442.243598,155583540.376402,154990512.66,154940060.6775,155040964.6425,340495.595047947,154323141.293706,155657884.026294,191021.35,88367.1715,293675.5285,235201.018994803,-269972.647229814,652015.347229814
"17","effect_disc",55099252.7859277,54907319.241427,55291186.3304284,339685.488270495,54433469.2289176,55765036.3429379,55256522.7423312,54992846.4829877,55520199.0016747,434662.686680995,54404583.8764364,56108461.6082259,157269.956403454,85527.2415606765,229012.671246231,156096.967089393,-148680.099091756,463220.011898664
"18","HCE_disc",37126490369.9792,36698505815.1551,37554474924.8034,686199678.486961,35781539000.1448,38471441739.8137,36225308932.4472,35732098567.3677,36718519297.5268,774246386.477107,34707786014.9521,37742831849.9424,-901181437.531996,-966407247.7874,-835955627.276593,247703935.961609,-1386681152.01675,-415681723.047242
"19","Prod_cost",85217582577.5828,80236206925.0312,90198958230.1344,7481619330.49781,70553608689.8071,99881556465.3585,81304722007.0058,75781059282.7252,86828384731.2863,8277241569.72981,65081328530.3353,97528115483.6762,-3912860570.57705,-4455147642.30603,-3370573498.84808,1291922607.37914,-6445028881.04018,-1380692260.11393
"20","Prod_cost_disc",76261346222.5103,71768656825.4396,80754035619.5811,6736464252.8664,63057876286.8922,89464816158.1285,73399017957.6323,68463026170.7932,78335009744.4714,7389105818.33611,58916370553.6935,87881665361.5711,-2862328264.87802,-3305630654.64633,-2419025875.10971,1065389623.45259,-4950491926.84511,-774164602.910941
"21","Policy_cost",0,0,0,0,0,0,5398191922166724,3383748000363499,7412635843969948,2999023949166333,-479895018199288,11276278862532736,5398191922166724,3383748000363499,7412635843969948,2999023949166333,-479895018199288,11276278862532736
"22","Total_cost_health",37126490369.9792,36698505815.1551,37554474924.8034,686199678.486961,35781539000.1448,38471441739.8137,1861073210309930,1169397506529339,2552748914090520,1029755673860622,-157247910456889,3879394331076749,1861036083819560,1169360808023524,2552711359615595,1029755035984684,-157283786710420,3879355954349539
"23","Total_cost_societ",113387836592.49,109323131750.243,117452541434.736,6129758272.51227,101373510378.365,125402162806.614,1861146609327887,1169475841539083,2552817377116691,1029748327450615,-157160112475318,3879453331131092,1861033221491295,1169358388997649,2552708053984941,1029754376203111,-157285355866804,3879351798849393
