"","Outcome","mean","LL","UL","se","LL2","UL2","cat","catvar"
"36","effect_disc",-0.000555519540376274,-0.00114541880775291,3.43797270003631e-05,0.00219345356355934,-0.00485468852495258,0.00374364944420003,2,"age_cat"
"37","HCE_disc",-36.023152594281,-55.8309153415553,-16.2153898470068,75.9393042353514,-184.86418889557,112.817883707008,2,"age_cat"
"38","Prod_cost",141.179345214924,81.3274264139122,201.031264015935,206.302657563351,-263.173863609245,545.532554039092,2,"age_cat"
"39","Prod_cost_disc",141.179345214924,81.3274264139122,201.031264015935,206.302657563351,-263.173863609245,545.532554039092,2,"age_cat"
"40","Policy_cost",69421.8300975259,43582.2294994921,95261.4306955598,38481.6435131943,-6002.19118833484,144845.851383387,2,"age_cat"
"41","Total_cost_health",69385.8069449317,43526.3985841506,95245.2153057128,38511.2019637801,-6096.14890407724,144867.762793941,2,"age_cat"
"42","Total_cost_societ",69526.9862901466,43727.4298481665,95326.5427321267,38422.2045990057,-5780.53472390462,144834.507304198,2,"age_cat"
"43","Subject_ID",0,0,0,0,0,0,2,"GENDER"
"44","Incident DM",0.000763452364936933,0.000713827331316389,0.000813077398557476,0.000789797129834546,-0.000784550009538777,0.00231145473941264,2,"GENDER"
"45","Incident CHD",0.0151426726330537,0.011510103682657,0.0187752415834503,0.00583129661623132,0.0037133312652403,0.0265720140008671,2,"GENDER"
"46","Incident Stroke",-0.0151700074780006,-0.0184342357533176,-0.0119057792026836,0.00536113768278783,-0.0256778373362647,-0.00466217761973643,2,"GENDER"
"47","Incident First CHD",0.0151426726330537,0.011510103682657,0.0187752415834503,0.00583129661623132,0.0037133312652403,0.0265720140008671,2,"GENDER"
"48","Incident First Stroke",-0.0151700074780006,-0.0184342357533176,-0.0119057792026836,0.00536113768278783,-0.0256778373362647,-0.00466217761973643,2,"GENDER"
"49","Incident Recurrent CHD",0,0,0,0,0,0,2,"GENDER"
"50","Incident Recurrent Stroke",0,0,0,0,0,0,2,"GENDER"
"51","Death",-0.000484885546870947,-0.000963585339271142,-6.18575447075181e-06,0.000839753470009878,-0.00213080234809031,0.00116103125434841,2,"GENDER"
"52","CHD_Death",0,0,0,0,0,0,2,"GENDER"
"53","Stroke_Death",0,0,0,0,0,0,2,"GENDER"
"54","DM_Death",0,0,0,0,0,0,2,"GENDER"
"55","Non_DM_Non_CVD_Death",-0.000484885546870947,-0.000963585339271142,-6.18575447075181e-06,0.000839753470009878,-0.00213080234809031,0.00116103125434841,2,"GENDER"
"56","Life Years",9.36506793490045e-05,4.68253396745021e-06,0.000182618824730559,0.000210893147412065,-0.000319699889578644,0.000507001248276652,2,"GENDER"
"57","effect_disc",0.00165764790650845,0.00149747189279866,0.00181782392021824,0.000415071056065397,0.000844108636620267,0.00247118717639662,2,"GENDER"
"58","HCE_disc",67.6571852881602,49.1031918294905,86.21117874683,29.3841861369531,10.0641804597321,125.250190116588,2,"GENDER"
"59","Prod_cost",-177.364430188835,-229.06196440393,-125.66689597374,81.8954204981733,-337.879454365255,-16.8494060124153,2,"GENDER"
"60","Prod_cost_disc",-177.364430188835,-229.06196440393,-125.66689597374,81.8954204981733,-337.879454365255,-16.8494060124153,2,"GENDER"
"61","Policy_cost",74193.9361676826,46494.1415730499,101893.730762315,41240.636832478,-6637.71202397434,155025.584359339,2,"GENDER"
"62","Total_cost_health",74261.5933529707,46580.3527517967,101942.833954145,41213.014602153,-6515.91526724916,155039.101973191,2,"GENDER"
"63","Total_cost_societ",74084.2289227819,46351.2907873928,101817.167058171,41289.9869207456,-6844.14544187955,155012.603287443,2,"GENDER"
"64","Subject_ID",0,0,0,0,0,0,1,"GENDER"
"65","Incident DM",0.000441288666747899,0.000315068999787178,0.00056750833370862,0.00079501375380047,-0.00111693829070102,0.00199951562419682,1,"GENDER"
"66","Incident CHD",0.0183863477929117,0.0158702222918231,0.0209024732940003,0.0172532581511667,-0.0154300381833751,0.0522027337691985,1,"GENDER"
"67","Incident Stroke",-0.0183779648632721,-0.0207134417868255,-0.0160424879397187,0.0171928409350968,-0.0520759330960618,0.0153200033695177,1,"GENDER"
"68","Incident First CHD",0.0183863477929117,0.0158702222918231,0.0209024732940003,0.0172532581511667,-0.0154300381833751,0.0522027337691985,1,"GENDER"
"69","Incident First Stroke",-0.0183779648632721,-0.0207134417868255,-0.0160424879397187,0.0171928409350968,-0.0520759330960618,0.0153200033695177,1,"GENDER"
"70","Incident Recurrent CHD",0,0,0,0,0,0,1,"GENDER"
"71","Incident Recurrent Stroke",0,0,0,0,0,0,1,"GENDER"
"72","Death",-0.000650975059507324,-0.00126940136603928,-3.25487529753661e-05,0.00102459076742127,-0.00265917296365302,0.00135722284463837,1,"GENDER"
"73","CHD_Death",0,0,0,0,0,0,1,"GENDER"
"74","Stroke_Death",0,0,0,0,0,0,1,"GENDER"
"75","DM_Death",0,0,0,0,0,0,1,"GENDER"
"76","Non_DM_Non_CVD_Death",-0.000650975059507324,-0.00126940136603928,-3.25487529753661e-05,0.00102459076742127,-0.00265917296365302,0.00135722284463837,1,"GENDER"
"77","Life Years",-0.000201303463119814,-0.000512861525155885,0.000110254598916258,0.000586667524620952,-0.00135117181137688,0.000948564885137252,1,"GENDER"
"78","effect_disc",0.00179098130427693,0.0016684007678809,0.00191356184067296,0.00188904992418108,-0.00191155654711799,0.00549351915567185,1,"GENDER"
"79","HCE_disc",81.2950190446942,70.1296964961804,92.4603415932081,75.8076913411333,-67.288055983927,229.878094073315,1,"GENDER"
"80","Prod_cost",-208.349878646676,-212.977753139215,-203.722004154137,195.830622954794,-592.177899638071,175.47814234472,1,"GENDER"
"81","Prod_cost_disc",-208.349878646676,-212.977753139215,-203.722004154137,195.830622954794,-592.177899638071,175.47814234472,1,"GENDER"
"82","Policy_cost",73230.5391598325,46066.3974984543,100394.680821211,40444.2196286504,-6040.13131232231,152501.209631987,1,"GENDER"
"83","Total_cost_health",73311.8341788772,46136.5271949505,100487.141162804,40460.912103182,-5991.55354335943,152615.221901114,1,"GENDER"
"84","Total_cost_societ",73103.4843002305,45932.8051907964,100274.163409665,40454.1377853953,-6186.62575914417,152393.594359605,1,"GENDER"
